step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
200,18.36,24.65,0.00,0.97,0.9999,0.2171,753,1.00e-04
400,14.42,24.65,0.00,0.97,0.9999,0.2324,753,1.00e-04
600,12.69,24.64,0.00,0.97,0.9999,0.2255,753,1.00e-04
800,11.88,24.63,0.00,0.97,0.9998,0.2276,753,1.00e-04
1000,11.02,24.62,0.00,0.97,0.9998,0.2225,753,1.00e-04
1200,10.36,24.62,0.00,0.97,0.9998,0.2218,753,1.00e-04
1400,9.93,24.61,0.00,0.97,0.9998,0.2316,753,1.00e-04
1600,9.66,24.61,0.00,0.97,0.9998,0.2363,753,1.00e-04
1800,9.31,24.60,0.00,0.97,0.9998,0.2510,753,1.00e-04
2000,9.02,24.60,0.00,0.97,0.9997,0.2662,753,1.00e-04
2200,8.80,24.59,0.00,0.97,0.9997,0.2792,753,1.00e-04
2400,8.69,24.59,0.00,0.97,0.9996,0.3020,753,1.00e-04
2600,8.53,24.58,0.00,0.97,0.9996,0.3165,753,1.00e-04
2800,8.41,24.58,0.00,0.97,0.9996,0.3324,753,1.00e-04
3000,8.26,24.57,0.00,0.97,0.9995,0.3489,753,1.00e-04
3200,8.11,24.57,0.00,0.97,0.9995,0.3569,753,1.00e-04
3400,7.98,24.56,0.00,0.97,0.9995,0.3619,753,1.00e-04
3600,7.90,24.56,0.00,0.96,0.9994,0.3626,753,1.00e-04
3800,7.80,24.55,0.00,0.96,0.9994,0.3660,753,1.00e-04
4000,7.74,24.55,0.00,0.96,0.9994,0.3654,753,1.00e-04
4200,7.67,24.55,0.00,0.96,0.9994,0.3738,753,1.00e-04
4400,7.57,24.54,0.00,0.96,0.9994,0.3741,753,1.00e-04
4600,7.52,24.54,0.00,0.96,0.9994,0.3747,753,1.00e-04
4800,7.45,24.53,0.00,0.96,0.9994,0.3766,753,1.00e-04
5000,7.39,24.53,0.00,0.96,0.9994,0.3802,753,1.00e-04
5200,7.34,24.52,0.00,0.96,0.9993,0.3821,753,1.00e-04
5400,7.28,24.52,0.00,0.96,0.9993,0.3845,753,1.00e-04
5600,7.22,24.51,0.00,0.96,0.9993,0.3876,753,1.00e-04
5800,7.17,24.51,0.00,0.96,0.9993,0.3892,753,1.00e-04
6000,7.14,24.50,0.00,0.96,0.9993,0.3926,753,1.00e-04
6200,7.10,24.50,0.00,0.96,0.9993,0.3991,753,1.00e-04
6400,7.04,24.49,0.00,0.96,0.9993,0.4004,753,1.00e-04
6600,6.98,24.49,0.00,0.96,0.9992,0.4049,753,1.00e-04
6800,6.93,24.48,0.00,0.96,0.9992,0.4093,753,1.00e-04
7000,6.89,24.48,0.00,0.96,0.9992,0.4070,753,1.00e-04
7200,6.85,24.47,0.00,0.96,0.9992,0.4097,753,1.00e-04
7400,6.80,24.47,0.00,0.96,0.9992,0.4128,753,1.00e-04
7600,6.77,24.46,0.00,0.96,0.9992,0.4126,753,1.00e-04
7800,6.73,24.46,0.00,0.96,0.9992,0.4167,753,1.00e-04
8000,6.70,24.46,0.00,0.96,0.9992,0.4199,753,1.00e-04
8200,6.67,24.45,0.00,0.96,0.9991,0.4265,753,1.00e-04
8400,6.64,24.45,0.00,0.96,0.9991,0.4342,753,1.00e-04
8600,6.60,24.44,0.00,0.96,0.9991,0.4366,753,1.00e-04
