step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
200,5.67,24.47,0.00,0.96,1.0000,0.0392,753,1.00e-04
400,5.41,24.49,0.00,0.96,1.0000,0.0551,753,1.00e-04
600,5.52,24.50,0.00,0.96,1.0000,0.0630,753,1.00e-04
800,5.52,24.52,0.00,0.96,1.0000,0.0775,753,1.00e-04
1000,5.40,24.54,0.00,0.96,1.0000,0.0850,753,1.00e-04
1200,5.36,24.55,0.00,0.96,0.9999,0.0956,753,1.00e-04
1400,5.40,24.57,0.00,0.96,0.9999,0.1055,753,1.00e-04
1600,5.36,24.58,0.00,0.96,0.9999,0.1130,753,1.00e-04
1800,5.40,24.60,0.00,0.96,0.9999,0.1200,753,1.00e-04
2000,5.36,24.62,0.00,0.96,0.9999,0.1276,753,1.00e-04
