step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
200,394.57,24.65,0.00,1.08,0.9999,0.1450,756,2.80e-05
400,296.19,24.65,0.00,1.08,0.9998,0.2129,755,4.60e-05
600,227.35,24.65,0.00,1.09,0.9997,0.2731,755,6.40e-05
800,189.01,24.63,0.00,1.09,0.9997,0.2924,755,8.20e-05
1000,164.35,24.62,0.00,1.09,0.9997,0.3007,755,1.00e-04
1200,147.36,24.61,0.00,1.09,0.9997,0.3049,755,1.00e-04
1400,135.00,24.60,0.00,1.09,0.9997,0.3134,755,1.00e-04
1600,126.20,24.59,0.00,1.09,0.9997,0.3201,754,1.00e-04
1800,119.09,24.58,0.00,1.09,0.9997,0.3275,754,1.00e-04
2000,113.45,24.57,0.00,1.09,0.9997,0.3347,754,1.00e-04
2200,108.63,24.56,0.00,1.09,0.9997,0.3386,754,1.00e-04
2400,105.12,24.55,0.00,1.09,0.9997,0.3399,754,1.00e-04
2600,102.00,24.54,0.00,1.09,0.9996,0.3396,754,1.00e-04
2800,99.23,24.53,0.00,1.09,0.9996,0.3384,754,1.00e-04
3000,97.09,24.52,0.00,1.09,0.9996,0.3450,755,1.00e-04
3200,95.08,24.51,0.00,1.09,0.9995,0.3660,755,1.00e-04
3400,93.18,24.50,0.00,1.09,0.9995,0.3815,754,1.00e-04
3600,91.57,24.49,0.00,1.08,0.9995,0.3835,754,1.00e-04
3800,90.03,24.48,0.00,1.08,0.9995,0.3850,754,1.00e-04
4000,88.60,24.48,0.00,1.08,0.9995,0.3774,754,1.00e-04
4200,87.50,24.47,0.00,1.08,0.9995,0.3795,754,1.00e-04
4400,86.42,24.46,0.00,1.08,0.9995,0.3817,754,1.00e-04
4600,85.38,24.45,0.00,1.08,0.9995,0.3805,754,1.00e-04
4800,84.48,24.44,0.00,1.08,0.9995,0.3786,754,1.00e-04
5000,83.64,24.44,0.00,1.08,0.9995,0.3763,754,1.00e-04
5200,82.90,24.43,0.00,1.08,0.9995,0.3781,754,1.00e-04
5400,82.18,24.42,0.00,1.08,0.9995,0.3772,754,1.00e-04
5600,81.36,24.41,0.00,1.08,0.9995,0.3775,754,1.00e-04
5800,80.74,24.40,0.00,1.08,0.9995,0.3748,754,1.00e-04
6000,80.03,24.40,0.00,1.08,0.9995,0.3712,754,1.00e-04
6200,79.42,24.39,0.00,1.08,0.9995,0.3708,754,1.00e-04
6400,78.92,24.38,0.00,1.08,0.9995,0.3739,754,1.00e-04
6600,78.39,24.38,0.00,1.08,0.9995,0.3739,754,1.00e-04
6800,77.88,24.37,0.00,1.08,0.9995,0.3709,754,1.00e-04
7000,77.36,24.36,0.00,1.08,0.9995,0.3694,754,1.00e-04
7200,76.86,24.36,0.00,1.08,0.9995,0.3693,754,1.00e-04
7400,76.33,24.35,0.00,1.08,0.9995,0.3774,754,1.00e-04
7600,75.92,24.34,0.00,1.08,0.9995,0.3900,754,1.00e-04
7800,75.48,24.34,0.00,1.08,0.9995,0.3946,754,1.00e-04
8000,75.04,24.33,0.00,1.08,0.9995,0.3982,754,1.00e-04
8200,74.73,24.33,0.00,1.08,0.9995,0.3963,754,1.00e-04
8400,74.38,24.32,0.00,1.08,0.9995,0.3940,754,1.00e-04
8600,74.06,24.31,0.00,1.08,0.9995,0.3874,754,1.00e-04
8800,73.75,24.31,0.00,1.08,0.9995,0.3835,754,1.00e-04
9000,73.40,24.30,0.00,1.08,0.9995,0.3785,754,1.00e-04
9200,73.10,24.30,0.00,1.08,0.9995,0.3835,754,1.00e-04
9400,72.79,24.29,0.00,1.08,0.9995,0.3836,754,1.00e-04
9600,72.56,24.29,0.00,1.08,0.9995,0.3821,754,1.00e-04
9800,72.25,24.28,0.00,1.08,0.9995,0.3769,754,1.00e-04
10000,71.96,24.28,0.00,1.08,0.9995,0.3774,754,1.00e-04
10200,71.69,24.27,0.00,1.08,0.9995,0.3772,754,1.00e-04
10400,71.46,24.27,0.00,1.08,0.9995,0.3765,754,1.00e-04
10600,71.22,24.26,0.00,1.08,0.9995,0.3721,754,1.00e-04
10800,71.00,24.26,0.00,1.08,0.9995,0.3763,754,1.00e-04
11000,70.72,24.25,0.00,1.08,0.9995,0.3722,754,1.00e-04
11200,70.53,24.25,0.00,1.08,0.9995,0.3703,754,1.00e-04
11400,70.30,24.24,0.00,1.08,0.9995,0.3748,754,1.00e-04
11600,70.10,24.24,0.00,1.08,0.9995,0.3719,754,1.00e-04
11800,69.92,24.23,0.00,1.08,0.9995,0.3736,754,1.00e-04
12000,69.77,24.23,0.00,1.08,0.9995,0.3762,754,1.00e-04
12200,69.55,24.22,0.00,1.08,0.9995,0.3657,754,1.00e-04
12400,69.40,24.22,0.00,1.08,0.9995,0.3727,754,1.00e-04
12600,69.19,24.22,0.00,1.07,0.9995,0.3663,754,1.00e-04
