epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,200,18650.7,8.40,4.00e-05,1.3570,0.8027,0.5000,4.3272,0.0000,0.100119,0.0000,2.8512
1,400,8512.5,8.23,8.00e-05,1.3734,0.8834,0.5001,1.8928,0.0000,0.100212,0.0000,2.6965
1,600,6419.1,8.20,1.00e-04,1.3429,0.8925,0.5002,1.4937,0.0000,0.100481,0.0000,2.6394
1,800,5530.3,8.20,1.00e-04,1.3506,0.8977,0.5002,1.3078,0.0000,0.100186,0.0000,2.2705
1,1000,5030.7,8.07,1.00e-04,1.3663,0.9021,0.5003,1.2400,0.0000,0.100209,0.0000,2.3325
1,1200,4729.4,8.37,1.00e-04,1.3581,0.9008,0.5004,1.2120,0.0000,0.100218,0.0000,2.3880
1,1400,4523.8,8.01,1.00e-04,1.3658,0.9030,0.5004,0.9990,0.0000,0.100273,0.0000,2.1632
1,1600,4374.5,8.19,1.00e-04,1.3669,0.9065,0.5005,0.9020,0.0000,0.100282,0.0000,2.1599
1,1800,4248.3,8.18,1.00e-04,1.3526,0.9054,0.5005,1.0104,0.0000,0.100110,0.0000,2.1628
1,2000,4155.9,8.08,1.00e-04,1.3649,0.9113,0.5006,0.9315,0.0000,0.100507,0.0000,2.1382
1,2200,4079.5,8.09,1.00e-04,1.3736,0.9112,0.5007,0.9521,0.0000,0.100142,0.0000,2.0879
1,2400,4013.4,8.22,1.00e-04,1.3629,0.9138,0.5007,1.1482,0.0000,0.100337,0.0000,2.1308
1,2600,3959.3,8.01,1.00e-04,1.3720,0.9073,0.5008,0.8858,0.0000,0.100245,0.0000,1.9334
1,2800,3911.9,8.10,1.00e-04,1.3560,0.9124,0.5008,0.8500,0.0000,0.100109,0.0000,2.0213
1,200,5352.0,8.44,1.00e-04,1.3668,0.9197,0.5007,1.2055,0.0000,0.500216,0.0000,2.1728
1,400,5230.6,8.56,1.00e-04,1.3777,0.8955,0.5007,1.0005,0.0000,0.500598,0.0000,2.1176
1,600,5163.3,8.52,1.00e-04,1.3482,0.8925,0.5007,1.0687,0.0000,0.499923,0.0000,2.1360
1,800,5111.1,8.55,1.00e-04,1.3529,0.8911,0.5008,0.9399,0.0000,0.500469,0.0000,1.9986
1,1000,5067.6,8.43,1.00e-04,1.3725,0.8823,0.5008,0.8816,0.0000,0.499738,0.0000,2.0374
