epoch,step,ppl,loss,lr
1,100,49228.6,10.74,2.00e-05
1,200,40783.8,9.73,4.00e-05
1,300,26265.6,8.81,6.00e-05
1,400,16526.5,7.86,8.00e-05
1,500,10907.9,7.22,1.00e-04
1,600,7923.5,7.06,1.00e-04
1,700,6134.1,7.06,1.00e-04
1,800,4974.4,6.58,1.00e-04
1,900,4171.3,7.67,1.00e-04
1,1000,3591.9,6.87,1.00e-04
1,1100,3160.1,6.71,1.00e-04
1,1200,2814.5,7.03,1.00e-04
1,1300,2556.9,6.55,1.00e-04
1,1400,2339.6,6.11,1.00e-04
2,1504,758.1,6.98,1.00e-04
2,1604,723.1,6.62,1.00e-04
2,1704,707.4,6.36,1.00e-04
2,1804,685.3,6.97,1.00e-04
2,1904,669.1,6.61,1.00e-04
2,2004,658.4,6.32,1.00e-04
2,2104,642.6,6.43,1.00e-04
2,2204,636.3,7.05,1.00e-04
2,2304,626.0,5.80,1.00e-04
2,2404,613.6,6.16,1.00e-04
2,2504,605.0,6.47,1.00e-04
2,2604,594.0,5.81,1.00e-04
2,2704,585.2,6.21,1.00e-04
2,2804,575.9,5.68,1.00e-04
3,2908,481.5,6.30,1.00e-04
3,3008,490.6,5.99,1.00e-04
3,3108,485.6,6.61,1.00e-04
3,3208,476.7,6.16,1.00e-04
3,3308,470.0,6.38,1.00e-04
3,3408,462.6,5.84,1.00e-04
3,3508,456.4,5.44,1.00e-04
3,3608,452.9,6.18,1.00e-04
3,3708,448.2,5.84,1.00e-04
3,3808,442.8,6.15,1.00e-04
3,3908,437.4,6.36,1.00e-04
3,4008,432.6,6.48,1.00e-04
3,4108,429.2,5.41,1.00e-04
3,4208,425.7,6.66,1.00e-04
4,4312,373.9,6.03,1.00e-04
4,4412,363.1,6.09,1.00e-04
4,4512,364.1,5.78,1.00e-04
4,4612,364.8,5.61,1.00e-04
4,4712,362.3,5.63,1.00e-04
4,4812,364.5,5.47,1.00e-04
4,4912,360.4,5.72,1.00e-04
4,5012,357.4,5.70,1.00e-04
4,5112,355.4,5.81,1.00e-04
4,5212,353.5,6.02,1.00e-04
4,5312,351.0,6.35,1.00e-04
4,5412,347.5,5.47,1.00e-04
4,5512,345.5,5.74,1.00e-04
4,5612,340.7,5.60,1.00e-04
5,5716,329.8,5.86,1.00e-04
5,5816,323.5,6.09,1.00e-04
5,5916,316.0,5.61,1.00e-04
5,6016,310.4,6.20,1.00e-04
5,6116,306.3,5.68,1.00e-04
5,6216,304.2,5.35,1.00e-04
5,6316,301.3,5.49,1.00e-04
5,6416,299.4,5.14,1.00e-04
5,6516,298.5,5.44,1.00e-04
5,6616,297.0,5.80,1.00e-04
5,6716,294.0,6.29,1.00e-04
5,6816,293.7,5.86,1.00e-04
5,6916,291.5,6.10,1.00e-04
5,7016,289.5,4.73,1.00e-04
6,7120,288.1,6.06,1.00e-04
6,7220,270.8,5.67,1.00e-04
6,7320,267.4,5.23,1.00e-04
6,7420,262.5,5.21,1.00e-04
6,7520,262.3,5.58,1.00e-04
6,7620,259.9,6.11,1.00e-04
6,7720,257.8,5.63,1.00e-04
6,7820,256.2,5.47,1.00e-04
6,7920,255.0,4.89,1.00e-04
6,8020,254.9,5.71,1.00e-04
6,8120,252.8,5.95,1.00e-04
6,8220,250.9,5.25,1.00e-04
6,8320,248.6,5.28,1.00e-04
6,8420,247.1,5.23,1.00e-04
7,8524,236.7,5.48,1.00e-04
7,8624,241.3,5.78,1.00e-04
7,8724,233.6,5.31,1.00e-04
7,8824,231.7,6.56,1.00e-04
7,8924,231.9,5.65,1.00e-04
7,9024,228.9,4.96,1.00e-04
7,9124,227.5,5.29,1.00e-04
7,9224,227.5,5.22,1.00e-04
7,9324,225.9,5.45,1.00e-04
7,9424,224.8,5.35,1.00e-04
7,9524,225.4,5.17,1.00e-04
7,9624,225.1,5.96,1.00e-04
7,9724,223.0,5.29,1.00e-04
7,9824,221.6,6.12,1.00e-04
8,9928,218.9,5.50,1.00e-04
8,10028,220.1,5.12,1.00e-04
8,10128,211.4,5.00,1.00e-04
8,10228,209.3,5.29,1.00e-04
8,10328,208.9,5.18,1.00e-04
8,10428,206.8,5.53,1.00e-04
8,10528,207.2,5.43,1.00e-04
8,10628,206.1,5.83,1.00e-04
8,10728,205.8,5.01,1.00e-04
8,10828,204.6,5.34,1.00e-04
8,10928,203.9,6.00,1.00e-04
8,11028,202.6,5.38,1.00e-04
8,11128,201.8,5.51,1.00e-04
8,11228,200.2,5.37,1.00e-04
9,11332,177.6,4.91,1.00e-04
9,11432,183.8,5.25,1.00e-04
9,11532,185.7,5.44,1.00e-04
