step,ppl,loss,lr,grad_norm,aux_loss,route_ent,exp_sim
50,2996.5,5.18,7.50e-05,8.0971,0.270337,0.9646,0.0000
100,346.4,1.94,1.50e-04,5.9625,0.275839,1.8367,0.0000
150,96.7,1.99,2.25e-04,5.0844,0.361385,1.1617,0.0000
200,51.2,2.18,3.00e-04,0.9945,0.625669,0.0286,0.0000
250,34.0,1.86,3.00e-04,1.1081,0.329980,0.2591,0.0000
300,25.8,1.83,3.00e-04,1.7244,0.299024,1.4669,0.0000
350,20.9,1.72,3.00e-04,1.6585,0.207447,1.0853,0.0000
400,17.8,1.67,3.00e-04,1.1179,0.166007,1.8417,0.0000
450,15.6,1.70,3.00e-04,1.9960,0.191392,1.8646,0.0000
500,14.0,1.64,3.00e-04,1.3558,0.138873,1.9401,0.0000
550,12.8,1.68,3.00e-04,1.0254,0.172061,2.1973,0.0000
600,11.9,1.63,3.00e-04,2.1554,0.145623,2.2357,0.0000
650,11.1,1.63,3.00e-04,1.9603,0.139606,2.2622,0.0000
700,10.5,1.63,3.00e-04,1.5120,0.138767,2.1929,0.0000
750,10.0,1.63,3.00e-04,1.8410,0.142667,2.3346,0.0000
800,9.6,1.59,3.00e-04,0.6355,0.110638,2.4090,0.0000
850,9.2,1.61,3.00e-04,0.8344,0.125562,2.3071,0.0000
900,8.9,1.61,3.00e-04,1.2693,0.127727,2.4359,0.0000
950,8.6,1.61,3.00e-04,0.7045,0.125450,2.3675,0.0000
1000,8.4,1.58,3.00e-04,0.5515,0.108537,2.4042,0.0000
1050,8.2,1.61,3.00e-04,0.5116,0.134019,2.3772,0.0000
1100,8.0,1.59,3.00e-04,0.7324,0.116462,2.3476,0.0000
1150,7.8,1.59,3.00e-04,0.3871,0.111772,2.3937,0.0000
1200,7.7,1.59,3.00e-04,0.9489,0.109288,2.3477,0.0000
1250,7.6,1.59,3.00e-04,0.4542,0.110930,2.3729,0.0000
1300,7.4,1.59,3.00e-04,0.4581,0.114239,2.4141,0.0000
1350,7.3,1.60,3.00e-04,0.4500,0.121000,2.3780,0.0000
1400,7.2,1.59,3.00e-04,1.0078,0.118455,2.3682,0.0000
1450,7.1,1.57,3.00e-04,0.5851,0.103900,2.3747,0.0000
1500,7.0,1.58,3.00e-04,0.8631,0.114980,2.4191,0.0000
1550,6.9,1.57,3.00e-04,0.3277,0.095947,2.4328,0.0000
1600,6.9,1.57,3.00e-04,0.6992,0.101693,2.4088,0.0000
1650,6.8,1.58,3.00e-04,0.5204,0.118272,2.3968,0.0000
1700,6.7,1.58,3.00e-04,0.7047,0.118300,2.4046,0.0000
1750,6.7,1.56,3.00e-04,0.3147,0.098698,2.4515,0.0000
1800,6.6,1.57,3.00e-04,0.3340,0.101217,2.4140,0.0000
1850,6.5,1.56,3.00e-04,0.5645,0.097057,2.4507,0.0000
1900,6.5,1.55,3.00e-04,0.3021,0.095895,2.4225,0.0000
1950,6.4,1.57,3.00e-04,0.4915,0.108361,2.4505,0.0000
2000,6.4,1.56,3.00e-04,0.4755,0.100250,2.4268,0.0000
2050,6.3,1.56,3.00e-04,0.3882,0.093813,2.4464,0.0000
2100,6.3,1.58,3.00e-04,0.6578,0.111117,2.4189,0.0000
2150,6.3,1.59,3.00e-04,0.7821,0.116235,2.3946,0.0000
2200,6.2,1.56,3.00e-04,0.7061,0.101739,2.4424,0.0000
2250,6.2,1.55,3.00e-04,0.2796,0.089938,2.4593,0.0000
2300,6.2,1.55,3.00e-04,0.2164,0.091850,2.4560,0.0000
2350,6.1,1.56,3.00e-04,0.5631,0.097448,2.4507,0.0000
2400,6.1,1.54,3.00e-04,0.1932,0.083990,2.4679,0.0000
2450,6.1,1.54,3.00e-04,0.1931,0.081781,2.4699,0.0000
2500,6.0,1.54,3.00e-04,0.1918,0.083727,2.4715,0.0000
2550,6.0,1.55,3.00e-04,0.2765,0.093130,2.4673,0.0000
2600,6.0,1.55,3.00e-04,0.1655,0.083156,2.4789,0.0000
2650,5.9,1.54,3.00e-04,0.3400,0.089036,2.4668,0.0000
2700,5.9,1.55,3.00e-04,0.2052,0.083384,2.4757,0.0000
2750,5.9,1.53,3.00e-04,0.0820,0.078995,2.4777,0.0000
2800,5.9,1.54,3.00e-04,0.1694,0.080938,2.4782,0.0000
2850,5.8,1.54,3.00e-04,0.0854,0.077713,2.4795,0.0000
2900,5.8,1.54,3.00e-04,0.1424,0.080552,2.4781,0.0000
2950,5.8,1.53,3.00e-04,0.1138,0.079449,2.4788,0.0000
3000,5.8,1.54,3.00e-04,0.1497,0.080328,2.4794,0.0000
3200,5.8,1.62,2.93e-04,1.1933,0.148155,1.8367,0.0000
4500,5.6,1.58,2.86e-04,1.5791,0.118241,2.2621,0.0000
6000,5.5,1.64,2.76e-04,2.4561,0.157777,2.1290,0.0000
7500,5.4,1.58,2.62e-04,0.9375,0.111517,2.3560,0.0000
9000,5.3,1.57,2.46e-04,2.2794,0.111432,2.4371,0.0000
10500,5.2,1.55,2.28e-04,0.4780,0.091717,2.4362,0.0000
12000,5.2,1.53,2.08e-04,0.2696,0.083053,2.4725,0.0000
13500,5.1,1.53,1.88e-04,0.3790,0.077274,2.4779,0.0000
15000,5.1,1.53,1.66e-04,0.0751,0.076530,2.4817,0.0000
16500,5.0,1.55,1.45e-04,0.9517,0.090100,2.4488,0.0000
18000,5.0,1.53,1.24e-04,0.2999,0.079112,2.4773,0.0000
19500,5.0,1.53,1.05e-04,0.2230,0.076500,2.4816,0.0000
21000,4.9,1.52,8.63e-05,0.1372,0.076531,2.4823,0.0000
22500,4.9,1.53,7.00e-05,0.1110,0.076321,2.4835,0.0000
24000,4.9,1.52,5.61e-05,0.1455,0.076184,2.4836,0.0000
25500,4.9,1.52,4.49e-05,0.0765,0.075941,2.4844,0.0000
27000,4.9,1.52,3.67e-05,0.0543,0.075880,2.4844,0.0000
28500,4.8,1.52,3.17e-05,0.0801,0.075868,2.4843,0.0000
30000,4.8,1.52,3.00e-05,0.0578,0.075901,2.4845,0.0000
