step,ppl,loss,lr,grad_norm,aux_loss,route_ent,exp_sim,val_ppl
31500,4.9,1.72,1.55e-04,5.3880,0.000000,0.5861,0.0000,4.7
33000,4.9,1.70,1.45e-04,15.4557,0.000000,0.5801,0.0000,4.6
34500,4.9,1.69,1.34e-04,3.0148,0.000000,0.9727,0.0000,4.5
36000,5.0,1.63,1.24e-04,3.4459,0.000000,0.6499,0.0000,4.4
37500,5.0,1.63,1.14e-04,2.3069,0.000000,0.7720,0.0000,4.4
39000,5.0,1.63,1.04e-04,3.5293,0.000000,1.3020,0.0000,4.4
40500,5.0,1.62,9.49e-05,3.0092,0.000000,1.6163,0.0000,4.4
42000,5.0,1.62,8.60e-05,2.8030,0.000000,1.8279,0.0000,4.4
43500,5.0,1.59,7.76e-05,1.6306,0.000000,1.8287,0.0000,4.4
45000,5.0,1.57,6.98e-05,1.7218,0.000000,2.1616,0.0000,4.3
46500,5.0,1.55,6.26e-05,1.1824,0.000000,2.3063,0.0000,4.3
48000,5.0,1.56,5.59e-05,1.7358,0.000000,2.3225,0.0000,4.4
49500,5.0,1.55,5.00e-05,0.9438,0.000000,2.3296,0.0000,4.3
51000,4.9,1.53,4.48e-05,0.4171,0.000000,2.4051,0.0000,4.3
52500,5.0,1.58,4.03e-05,5.8000,0.000000,1.5297,0.0000,4.3
54000,4.9,1.55,3.67e-05,0.3004,0.000000,2.3881,0.0000,4.3
55500,4.9,1.54,3.38e-05,0.3194,0.000000,2.4340,0.0000,4.3
57000,4.9,1.57,3.17e-05,1.2162,0.000000,1.1274,0.0000,4.3
58500,4.9,1.53,3.04e-05,0.1506,0.000000,2.4671,0.0000,4.3
60000,4.9,1.54,3.00e-05,0.5409,0.000000,2.4220,0.0000,4.3
61500,4.9,1.55,3.00e-05,3.7410,0.000000,1.4470,0.0000,4.3
62000,4.9,1.56,3.00e-05,2.7764,0.000000,0.9424,0.0000,4.3
63000,4.9,1.63,8.59e-05,15.8854,0.168075,0.2292,0.0000,4.3
64500,4.9,1.62,8.02e-05,4.7855,0.162465,0.3437,0.0000,4.3
66000,4.9,1.61,7.49e-05,4.7175,0.151910,0.4853,0.0000,4.3
67500,4.9,1.59,6.97e-05,3.3804,0.135884,0.5532,0.0000,4.3
69000,4.9,1.59,6.48e-05,3.8021,0.133652,0.4796,0.0000,4.3
70500,4.9,1.59,6.02e-05,5.5407,0.141665,0.3785,0.0000,4.3
72000,4.9,1.58,5.59e-05,2.4458,0.134254,0.5140,0.0000,4.3
73500,4.9,1.59,5.19e-05,5.3337,0.140243,0.4629,0.0000,4.3
75000,4.9,1.57,4.82e-05,4.3192,0.116668,0.4406,0.0000,4.3
76500,4.9,1.58,4.48e-05,4.6799,0.125804,0.4239,0.0000,4.3
78000,4.9,1.56,4.17e-05,6.3906,0.113170,0.7363,0.0000,4.3
79500,4.9,1.56,3.90e-05,4.0518,0.110546,0.7134,0.0000,4.3
81000,4.9,1.55,3.66e-05,4.6865,0.103170,0.9901,0.0000,4.3
82500,4.9,1.60,3.46e-05,5.0505,0.139329,0.4693,0.0000,4.3
84000,4.9,1.54,3.30e-05,2.9593,0.096789,1.0898,0.0000,4.3
85500,4.9,1.56,3.17e-05,4.1103,0.105079,0.6393,0.0000,4.3
87000,4.9,1.56,3.07e-05,5.3160,0.108329,0.6483,0.0000,4.3
88500,4.9,1.54,3.02e-05,3.4186,0.094965,0.9105,0.0000,4.3
90000,4.9,1.56,3.00e-05,5.2226,0.108656,0.8515,0.0000,4.3
91500,4.9,1.92,1.58e-04,14.1218,0.439075,0.1518,0.0000,4.4
93000,4.9,1.85,2.01e-04,11.1783,0.372492,0.2415,0.0000,4.3
94500,5.0,1.75,2.01e-04,8.8932,0.295066,0.2901,0.0000,4.3
96000,5.0,1.73,2.00e-04,12.9942,0.256903,0.3018,0.0000,4.4
97500,5.0,1.75,1.99e-04,10.6981,0.293336,0.1899,0.0000,4.3
99000,5.0,1.74,1.98e-04,12.6710,0.278776,0.2462,0.0000,4.3
100500,5.0,1.78,1.97e-04,10.6673,0.237684,0.2190,0.0000,4.5
102000,5.0,1.70,1.95e-04,7.0777,0.242639,0.2222,0.0000,4.3
103500,5.0,1.70,1.93e-04,6.9117,0.233274,0.2297,0.0000,4.3
